X,Y,OBJECTID,COLL_METH,STRUCTURE,CB_TYPE,MH_COVER,DIMENSION,DEPTH,ELEVATION,LOCATION,BASIN,STRUC_ID,MUNI,PROJECT_ID,MAP_ID,COMMENTS,ST_NAME,HOUSE_NUM,LOCAL_ID,LAT,LONG_,ASSET_ID,INV_ELEV,OF_SHAPE,OF_MATERIAL,OF_TYPE,OWNER,GENERIC_OWN,DATA_SOURCE,OFFICE_TRACK,SHAPE,WC_DRAINAGE_BASIN,LAND_USE_TYPE,FEATURE_TYPE,SOURCE,HOUS_NUM,GLOBALID,ACCESSIBLE,TYPE_,MATERIAL,SHAPE_,QUANTITY,SUBMERGED,FLOW_PRESE,FLOW_DESC,DAMAGE,DEPOSITS,ABNORMAL_V,POOR_POOL_,BENTHIC_GR,INSPECTION,POLE,OFFSET_,HD,VD,SD,INC,AZ,CREATOR,EDITOR,HEIGHT,WIDTH,CONV_DIR,UNIQUE_ID_ALL_POINT_FEATURES,RESPONSIBILITY
695124.862877261,780478.077062525,1438,Stellar Services Field Survey,,,,24,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,a0844354-0372-43a0-9e51-5debb55ccc87,Y,CP,RCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,ON,1438,DPW
695076.825243678,780441.736584023,1439,Stellar Services Field Survey,,,,48,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,6106f3b9-04ba-464a-96e0-1059ea6899ba,Y,CP,CMP,ELIP,1,WP,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,ON,1439,DPW
697482.796809677,781624.180413358,1440,Stellar Services Field Survey,,,,24,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,12144c43-10ac-4fa9-a932-830a1457c532,Y,CP,RCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,ON,1440,DPW
698593.598393843,781538.274745271,1441,Stellar Services Field Survey,,,,15,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,08120f87-89ca-4f67-9b98-46781a13a02a,Y,CP,RCP,CIRC,2,WP,Y,TRI,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,IN,1441,DPW
698591.541639425,781544.259641439,1442,Stellar Services Field Survey,,,,15,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,4fef3475-9476-4f92-b00e-95d6aef71cdb,Y,CP,CPP,CIRC,1,NO,Y,TRI,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,IN,1442,DPW
698838.029663511,781865.409261607,1443,Stellar Services Field Survey,,,,36,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,25c1c58b-e52a-48a3-a0f5-d29473486d95,Y,CP,RCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,ON,1443,DPW
698842.820664424,781864.998501271,1444,Stellar Services Field Survey,,,,30,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,e5e51111-1c51-477c-b3b0-94ca31dda2ce,Y,CP,RCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,ON,1444,DPW
698866.141812008,781877.230760276,1445,Stellar Services Field Survey,,,,30,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,09e249ca-d5f8-46a6-98c7-b21acd307050,Y,CP,RCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,ON,1445,DPW
699157.71898476,782098.801183276,1446,Stellar Services Field Survey,,,,18,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,a44fc4be-c792-4481-a892-a12a3a29d612,Y,CP,RCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,ON,1446,DPW
699507.81375701,782362.523424856,1447,Stellar Services Field Survey,,,,36,0,0,,,,,,,"Was able to locate the inlet, outfall on other side of highway, unable to access.",,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,7f59bc28-e9ea-4f06-b363-a6d1ce0db154,Y,CP,RCP,ELIP,2,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,ON,1447,DPW
700054.313648261,780879.863332443,1448,Stellar Services Field Survey,,,,30,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,Medium Low Density Residential,Outfall,,,ca4c4d75-6af0-4b42-9b03-96d35908603b,Y,CP,RCP,CIRC,1,NO,Y,MOD,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,IN,1448,DPW
702653.086009759,782901.752989441,1449,Stellar Services Field Survey,,,,18,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,e22a234c-42bc-4821-896f-0607e215de52,Y,CP,CMP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1449,DPW
