sourceTypeID,roadTypeID,roadTypeVMTFraction,FIP
32,5,0.081550,36003
41,1,0.000000,36003
41,2,0.170595,36003
41,3,0.770715,36003
41,4,0.000000,36003
41,5,0.058690,36003
42,1,0.000000,36003
42,2,0.170595,36003
42,3,0.770715,36003
42,4,0.000000,36003
42,5,0.058690,36003
43,1,0.000000,36003
43,2,0.170595,36003
43,3,0.770715,36003
43,4,0.000000,36003
43,5,0.058690,36003
51,1,0.000000,36003
51,2,0.148708,36003
51,3,0.799096,36003
51,4,0.000000,36003
51,5,0.052196,36003
52,1,0.000000,36003
52,2,0.148708,36003
52,3,0.799096,36003
52,4,0.000000,36003
52,5,0.052196,36003
53,1,0.000000,36003
53,2,0.148708,36003
53,3,0.799096,36003
53,4,0.000000,36003
53,5,0.052196,36003
53,1,0.000000,36003
54,2,0.148708,36003
54,3,0.799096,36003
54,4,0.000000,36003
54,5,0.052196,36003
61,1,0.000000,36003
61,2,0.638164,36003
61,3,0.346700,36003
61,4,0.000000,36003
61,5,0.015135,36003
62,1,0.000000,36003
62,2,0.638164,36003
62,3,0.346700,36003
62,4,0.000000,36003
62,5,0.015135,36003
11,1,0.000000,36005
11,2,0.000000,36005
11,3,0.000000,36005
11,4,0.171284,36005
11,5,0.828716,36005
21,1,0.000000,36005
21,2,0.000000,36005
21,3,0.000000,36005
21,4,0.551126,36005
21,5,0.448874,36005
31,1,0.000000,36005
31,2,0.000000,36005
31,3,0.000000,36005
31,4,0.551126,36005
31,5,0.448874,36005
32,1,0.000000,36005
32,2,0.000000,36005
32,3,0.000000,36005
32,4,0.551126,36005
32,5,0.448874,36005
41,1,0.000000,36005
41,2,0.000000,36005
41,3,0.000000,36005
41,4,0.359812,36005
41,5,0.640188,36005
42,1,0.000000,36005
42,2,0.000000,36005
42,3,0.000000,36005
42,4,0.359812,36005
42,5,0.640188,36005
43,1,0.000000,36005
43,2,0.000000,36005
43,3,0.000000,36005
43,4,0.359812,36005
43,5,0.640188,36005
51,1,0.000000,36005
51,2,0.000000,36005
51,3,0.000000,36005
51,4,0.467192,36005
51,5,0.532808,36005
52,1,0.000000,36005
52,2,0.000000,36005
52,3,0.000000,36005
52,4,0.467192,36005
52,5,0.532808,36005
53,1,0.000000,36005
53,2,0.000000,36005
53,3,0.000000,36005
53,4,0.467192,36005
53,5,0.532808,36005
53,1,0.000000,36005
54,2,0.000000,36005
54,3,0.000000,36005
54,4,0.467192,36005
54,5,0.532808,36005
61,1,0.000000,36005
61,2,0.000000,36005
61,3,0.000000,36005
61,4,0.756448,36005
61,5,0.243552,36005
62,1,0.000000,36005
62,2,0.000000,36005
62,3,0.000000,36005
62,4,0.756448,36005
62,5,0.243552,36005
11,1,0.000000,36007
11,2,0.170743,36007
11,3,0.198070,36007
11,4,0.098620,36007
11,5,0.532567,36007
21,1,0.000000,36007
21,2,0.151084,36007
21,3,0.116949,36007
21,4,0.307365,36007
21,5,0.424603,36007
31,1,0.000000,36007
31,2,0.151084,36007
31,3,0.116949,36007
31,4,0.307365,36007
31,5,0.424603,36007
32,1,0.000000,36007
32,2,0.151084,36007
32,3,0.116949,36007
32,4,0.307365,36007
32,5,0.424603,36007
41,1,0.000000,36007
41,2,0.145826,36007
41,3,0.176069,36007
41,4,0.205304,36007
41,5,0.472801,36007
42,1,0.000000,36007
42,2,0.145826,36007
42,3,0.176069,36007
42,4,0.205304,36007
42,5,0.472801,36007
43,1,0.000000,36007
43,2,0.145826,36007
43,3,0.176069,36007
43,4,0.205304,36007
43,5,0.472801,36007
51,1,0.000000,36007
51,2,0.170182,36007
51,3,0.159892,36007
51,4,0.309537,36007
51,5,0.360389,36007
52,1,0.000000,36007
52,2,0.170182,36007
52,3,0.159892,36007
52,4,0.309537,36007
52,5,0.360389,36007
53,1,0.000000,36007
53,2,0.170182,36007
53,3,0.159892,36007
53,4,0.309537,36007
53,5,0.360389,36007
53,1,0.000000,36007
54,2,0.170182,36007
54,3,0.159892,36007
54,4,0.309537,36007
54,5,0.360389,36007
61,1,0.000000,36007
61,2,0.302860,36007
61,3,0.034739,36007
61,4,0.620607,36007
61,5,0.041794,36007
62,1,0.000000,36007
62,2,0.302860,36007
62,3,0.034739,36007
62,4,0.620607,36007
62,5,0.041794,36007
11,1,0.000000,36009
11,2,0.055431,36009
11,3,0.749516,36009
11,4,0.014472,36009
11,5,0.180581,36009
21,1,0.000000,36009
21,2,0.133708,36009
21,3,0.559346,36009
21,4,0.074541,36009
21,5,0.232405,36009
31,1,0.000000,36009
31,2,0.133708,36009
31,3,0.559346,36009
31,4,0.074541,36009
31,5,0.232405,36009
32,1,0.000000,36009
32,2,0.133708,36009
32,3,0.559346,36009
32,4,0.074541,36009
32,5,0.232405,36009
41,1,0.000000,36009
41,2,0.094375,36009
41,3,0.668822,36009
41,4,0.052334,36009
41,5,0.184469,36009
42,1,0.000000,36009
42,2,0.094375,36009
42,3,0.668822,36009
42,4,0.052334,36009
42,5,0.184469,36009
43,1,0.000000,36009
43,2,0.094375,36009
43,3,0.668822,36009
43,4,0.052334,36009
43,5,0.184469,36009
51,1,0.000000,36009
51,2,0.137879,36009
51,3,0.686441,36009
51,4,0.042565,36009
51,5,0.133114,36009
52,1,0.000000,36009
52,2,0.137879,36009
52,3,0.686441,36009
52,4,0.042565,36009
52,5,0.133114,36009
53,1,0.000000,36009
53,2,0.137879,36009
53,3,0.686441,36009
53,4,0.042565,36009
53,5,0.133114,36009
53,1,0.000000,36009
54,2,0.137879,36009
54,3,0.686441,36009
54,4,0.042565,36009
54,5,0.133114,36009
