sourceTypeID,roadTypeID,roadTypeVMTFraction,FIP
43,1,0,36015
43,2,0.1416,36015
43,3,0.2021,36015
43,4,0.2047,36015
43,5,0.4516,36015
51,1,0,36015
51,2,0.1388,36015
51,3,0.2356,36015
51,4,0.174,36015
51,5,0.4516,36015
52,1,0,36015
52,2,0.1388,36015
52,3,0.2356,36015
52,4,0.174,36015
52,5,0.4516,36015
53,1,0,36015
53,2,0.1388,36015
53,3,0.2356,36015
53,4,0.174,36015
53,5,0.4516,36015
53,1,0,36015
54,2,0.1388,36015
54,3,0.2356,36015
54,4,0.174,36015
54,5,0.4516,36015
61,1,0,36015
61,2,0.447,36015
61,3,0.0767,36015
61,4,0.378,36015
61,5,0.0983,36015
62,1,0,36015
62,2,0.447,36015
62,3,0.0767,36015
62,4,0.378,36015
62,5,0.0983,36015
11,1,0,36017
11,2,0.0617,36017
11,3,0.7909,36017
11,4,0,36017
11,5,0.1474,36017
21,1,0,36017
21,2,0.0855,36017
21,3,0.7307,36017
21,4,0,36017
21,5,0.1838,36017
31,1,0,36017
31,2,0.0855,36017
31,3,0.7307,36017
31,4,0,36017
31,5,0.1838,36017
32,1,0,36017
32,2,0.0855,36017
32,3,0.7307,36017
32,4,0,36017
32,5,0.1838,36017
41,1,0,36017
41,2,0.0595,36017
41,3,0.7929,36017
41,4,0,36017
41,5,0.1476,36017
42,1,0,36017
42,2,0.0595,36017
42,3,0.7929,36017
42,4,0,36017
42,5,0.1476,36017
43,1,0,36017
43,2,0.0595,36017
43,3,0.7929,36017
43,4,0,36017
43,5,0.1476,36017
51,1,0,36017
51,2,0.0769,36017
51,3,0.7984,36017
51,4,0,36017
51,5,0.1247,36017
52,1,0,36017
52,2,0.0769,36017
52,3,0.7984,36017
52,4,0,36017
52,5,0.1247,36017
53,1,0,36017
53,2,0.0769,36017
53,3,0.7984,36017
53,4,0,36017
53,5,0.1247,36017
53,1,0,36017
54,2,0.0769,36017
54,3,0.7984,36017
54,4,0,36017
54,5,0.1247,36017
61,1,0,36017
61,2,0.4215,36017
61,3,0.534,36017
61,4,0,36017
61,5,0.0445,36017
62,1,0,36017
62,2,0.4215,36017
62,3,0.534,36017
62,4,0,36017
62,5,0.0445,36017
11,1,0,36019
11,2,0.0269,36019
11,3,0.6562,36019
11,4,0.0274,36019
11,5,0.2895,36019
21,1,0,36019
21,2,0.114,36019
21,3,0.5004,36019
21,4,0.0731,36019
21,5,0.3125,36019
31,1,0,36019
31,2,0.114,36019
31,3,0.5004,36019
31,4,0.0731,36019
31,5,0.3125,36019
32,1,0,36019
32,2,0.114,36019
32,3,0.5004,36019
32,4,0.0731,36019
32,5,0.3125,36019
41,1,0,36019
41,2,0.0587,36019
41,3,0.6141,36019
41,4,0.0639,36019
41,5,0.2633,36019
42,1,0,36019
42,2,0.0587,36019
42,3,0.6141,36019
42,4,0.0639,36019
42,5,0.2633,36019
43,1,0,36019
43,2,0.0587,36019
43,3,0.6141,36019
43,4,0.0639,36019
43,5,0.2633,36019
51,1,0,36019
51,2,0.092,36019
51,3,0.5641,36019
51,4,0.0541,36019
51,5,0.2898,36019
52,1,0,36019
52,2,0.092,36019
52,3,0.5641,36019
52,4,0.0541,36019
52,5,0.2898,36019
53,1,0,36019
53,2,0.092,36019
53,3,0.5641,36019
53,4,0.0541,36019
53,5,0.2898,36019
53,1,0,36019
54,2,0.092,36019
54,3,0.5641,36019
54,4,0.0541,36019
54,5,0.2898,36019
61,1,0,36019
61,2,0.3996,36019
61,3,0.3758,36019
61,4,0.1508,36019
61,5,0.0738,36019
62,1,0,36019
62,2,0.3996,36019
62,3,0.3758,36019
62,4,0.1508,36019
62,5,0.0738,36019
11,1,0,36021
11,2,0.0976,36021
11,3,0.637,36021
11,4,0,36021
11,5,0.2654,36021
21,1,0,36021
21,2,0.2482,36021
21,3,0.4619,36021
21,4,0,36021
21,5,0.2899,36021
