sourceTypeID,monthID,monthVMTFraction,FIP
11,9,0.089001748,36005
11,10,0.088335692,36005
11,11,0.082590958,36005
11,12,0.07976022,36005
21,1,0.070102406,36005
21,2,0.070518691,36005
21,3,0.080343019,36005
21,4,0.083506785,36005
21,5,0.087752893,36005
21,6,0.090666889,36005
21,7,0.088751977,36005
21,8,0.08866872,36005
21,9,0.089001748,36005
21,10,0.088335692,36005
21,11,0.082590958,36005
21,12,0.07976022,36005
31,1,0.070102406,36005
31,2,0.070518691,36005
31,3,0.080343019,36005
31,4,0.083506785,36005
31,5,0.087752893,36005
31,6,0.090666889,36005
31,7,0.088751977,36005
31,8,0.08866872,36005
31,9,0.089001748,36005
31,10,0.088335692,36005
31,11,0.082590958,36005
31,12,0.07976022,36005
32,1,0.070102406,36005
32,2,0.070518691,36005
32,3,0.080343019,36005
32,4,0.083506785,36005
32,5,0.087752893,36005
32,6,0.090666889,36005
32,7,0.088751977,36005
32,8,0.08866872,36005
32,9,0.089001748,36005
32,10,0.088335692,36005
32,11,0.082590958,36005
32,12,0.07976022,36005
41,1,0.070102406,36005
41,2,0.070518691,36005
41,3,0.080343019,36005
41,4,0.083506785,36005
41,5,0.087752893,36005
41,6,0.090666889,36005
41,7,0.088751977,36005
41,8,0.08866872,36005
41,9,0.089001748,36005
41,10,0.088335692,36005
41,11,0.082590958,36005
41,12,0.07976022,36005
42,1,0.070102406,36005
42,2,0.070518691,36005
42,3,0.080343019,36005
42,4,0.083506785,36005
42,5,0.087752893,36005
42,6,0.090666889,36005
42,7,0.088751977,36005
42,8,0.08866872,36005
42,9,0.089001748,36005
42,10,0.088335692,36005
42,11,0.082590958,36005
42,12,0.07976022,36005
43,1,0.070102406,36005
43,2,0.070518691,36005
43,3,0.080343019,36005
43,4,0.083506785,36005
43,5,0.087752893,36005
43,6,0.090666889,36005
43,7,0.088751977,36005
43,8,0.08866872,36005
43,9,0.089001748,36005
43,10,0.088335692,36005
43,11,0.082590958,36005
43,12,0.07976022,36005
51,1,0.070102406,36005
51,2,0.070518691,36005
51,3,0.080343019,36005
51,4,0.083506785,36005
51,5,0.087752893,36005
51,6,0.090666889,36005
51,7,0.088751977,36005
51,8,0.08866872,36005
51,9,0.089001748,36005
51,10,0.088335692,36005
51,11,0.082590958,36005
51,12,0.07976022,36005
52,1,0.070102406,36005
52,2,0.070518691,36005
52,3,0.080343019,36005
52,4,0.083506785,36005
52,5,0.087752893,36005
52,6,0.090666889,36005
52,7,0.088751977,36005
52,8,0.08866872,36005
52,9,0.089001748,36005
52,10,0.088335692,36005
52,11,0.082590958,36005
52,12,0.07976022,36005
53,1,0.070102406,36005
53,2,0.070518691,36005
53,3,0.080343019,36005
53,4,0.083506785,36005
53,5,0.087752893,36005
53,6,0.090666889,36005
53,7,0.088751977,36005
53,8,0.08866872,36005
53,9,0.089001748,36005
53,10,0.088335692,36005
53,11,0.082590958,36005
53,12,0.07976022,36005
54,1,0.070102406,36005
54,2,0.070518691,36005
54,3,0.080343019,36005
54,4,0.083506785,36005
54,5,0.087752893,36005
54,6,0.090666889,36005
54,7,0.088751977,36005
54,8,0.08866872,36005
54,9,0.089001748,36005
54,10,0.088335692,36005
54,11,0.082590958,36005
54,12,0.07976022,36005
61,1,0.070102406,36005
61,2,0.070518691,36005
61,3,0.080343019,36005
61,4,0.083506785,36005
61,5,0.087752893,36005
61,6,0.090666889,36005
61,7,0.088751977,36005
61,8,0.08866872,36005
61,9,0.089001748,36005
61,10,0.088335692,36005
61,11,0.082590958,36005
61,12,0.07976022,36005
62,1,0.070102406,36005
62,2,0.070518691,36005
62,3,0.080343019,36005
62,4,0.083506785,36005
62,5,0.087752893,36005
62,6,0.090666889,36005
62,7,0.088751977,36005
62,8,0.08866872,36005
62,9,0.089001748,36005
62,10,0.088335692,36005
62,11,0.082590958,36005
62,12,0.07976022,36005
11,1,0.067487554,36007
11,2,0.068289341,36007
11,3,0.077895902,36007
11,4,0.081864421,36007
11,5,0.087782765,36007
11,6,0.092689063,36007
11,7,0.093501361,36007
11,8,0.093353844,36007
11,9,0.09070174,36007
11,10,0.088269673,36007
11,11,0.081044249,36007
11,12,0.077120087,36007
21,1,0.068178828,36007
21,2,0.068878703,36007
21,3,0.078542833,36007
21,4,0.082298604,36007
21,5,0.087774868,36007
21,6,0.092154472,36007
21,7,0.092245792,36007
21,8,0.092115263,36007
21,9,0.090252322,36007
21,10,0.088287127,36007
21,11,0.081453144,36007
21,12,0.077818045,36007
31,1,0.068178828,36007
31,2,0.068878703,36007
31,3,0.078542833,36007
31,4,0.082298604,36007
31,5,0.087774868,36007
31,6,0.092154472,36007
31,7,0.092245792,36007
31,8,0.092115263,36007
31,9,0.090252322,36007
31,10,0.088287127,36007
31,11,0.081453144,36007
31,12,0.077818045,36007
32,1,0.068178828,36007
32,2,0.068878703,36007
32,3,0.078542833,36007
32,4,0.082298604,36007
32,5,0.087774868,36007
32,6,0.092154472,36007
32,7,0.092245792,36007
32,8,0.092115263,36007
32,9,0.090252322,36007
32,10,0.088287127,36007
32,11,0.081453144,36007
32,12,0.077818045,36007
41,1,0.067787235,36007
41,2,0.068544841,36007
41,3,0.07817636,36007
41,4,0.082052648,36007
41,5,0.087779341,36007
41,6,0.092457307,36007
41,7,0.092957046,36007
41,8,0.092816893,36007
41,9,0.090506908,36007
41,10,0.08827724,36007
41,11,0.081221514,36007
41,12,0.077422666,36007
42,1,0.067787235,36007
42,2,0.068544841,36007
42,3,0.07817636,36007
42,4,0.082052648,36007
42,5,0.087779341,36007
42,6,0.092457307,36007
42,7,0.092957046,36007
42,8,0.092816893,36007
42,9,0.090506908,36007
42,10,0.08827724,36007
42,11,0.081221514,36007
42,12,0.077422666,36007
43,1,0.067787235,36007
43,2,0.068544841,36007
43,3,0.07817636,36007
43,4,0.082052648,36007
43,5,0.087779341,36007
43,6,0.092457307,36007
43,7,0.092957046,36007
43,8,0.092816893,36007
43,9,0.090506908,36007
43,10,0.08827724,36007
43,11,0.081221514,36007
43,12,0.077422666,36007
51,1,0.0677235,36007
51,2,0.068490502,36007
51,3,0.078116713,36007
51,4,0.082012616,36007
51,5,0.08778007,36007
51,6,0.092506596,36007
51,7,0.09307281,36007
51,8,0.092931091,36007
51,9,0.090548344,36007
51,10,0.088275631,36007
51,11,0.081183813,36007
51,12,0.077358314,36007
52,1,0.0677235,36007
52,2,0.068490502,36007
52,3,0.078116713,36007
52,4,0.082012616,36007
52,5,0.08778007,36007
52,6,0.092506596,36007
52,7,0.09307281,36007
52,8,0.092931091,36007
52,9,0.090548344,36007
52,10,0.088275631,36007
52,11,0.081183813,36007
52,12,0.077358314,36007
53,1,0.0677235,36007
53,2,0.068490502,36007
53,3,0.078116713,36007
53,4,0.082012616,36007
53,5,0.08778007,36007
53,6,0.092506596,36007
53,7,0.09307281,36007
53,8,0.092931091,36007
53,9,0.090548344,36007
53,10,0.088275631,36007
53,11,0.081183813,36007
53,12,0.077358314,36007
54,1,0.0677235,36007
54,2,0.068490502,36007
54,3,0.078116713,36007
54,4,0.082012616,36007
54,5,0.08778007,36007
54,6,0.092506596,36007
54,7,0.09307281,36007
54,8,0.092931091,36007
54,9,0.090548344,36007
54,10,0.088275631,36007
54,11,0.081183813,36007
54,12,0.077358314,36007
61,1,0.067712785,36007
61,2,0.068481367,36007
61,3,0.078106685,36007
61,4,0.082005886,36007
61,5,0.087780192,36007
61,6,0.092514883,36007
61,7,0.093092271,36007
61,8,0.092950289,36007
61,9,0.09055531,36007
61,10,0.08827536,36007
61,11,0.081177475,36007
61,12,0.077347496,36007
62,1,0.067712785,36007
62,2,0.068481367,36007
62,3,0.078106685,36007
62,4,0.082005886,36007
62,5,0.087780192,36007
62,6,0.092514883,36007
62,7,0.093092271,36007
62,8,0.092950289,36007
62,9,0.09055531,36007
62,10,0.08827536,36007
62,11,0.081177475,36007
62,12,0.077347496,36007
11,1,0.064625566,36009
11,2,0.065849291,36009
11,3,0.075217503,36009
11,4,0.080066833,36009
11,5,0.08781546,36009
11,6,0.094902358,36009
11,7,0.098699619,36009
11,8,0.098481768,36009
11,9,0.092562401,36009
11,10,0.088197415,36009
11,11,0.079351357,36009
11,12,0.07423043,36009
21,1,0.065400507,36009
21,2,0.066509984,36009
21,3,0.075942734,36009
21,4,0.080553567,36009
21,5,0.087806607,36009
21,6,0.094303063,36009
21,7,0.097292084,36009
21,8,0.097093278,36009
21,9,0.092058589,36009
21,10,0.08821698,36009
21,11,0.079809742,36009
21,12,0.075012863,36009
31,1,0.065400507,36009
31,2,0.066509984,36009
31,3,0.075942734,36009
31,4,0.080553567,36009
31,5,0.087806607,36009
31,6,0.094303063,36009
31,7,0.097292084,36009
31,8,0.097093278,36009
31,9,0.092058589,36009
31,10,0.08821698,36009
31,11,0.079809742,36009
31,12,0.075012863,36009
32,1,0.065400507,36009
32,2,0.066509984,36009
32,3,0.075942734,36009
32,4,0.080553567,36009
32,5,0.087806607,36009
32,6,0.094303063,36009
32,7,0.097292084,36009
32,8,0.097093278,36009
32,9,0.092058589,36009
32,10,0.08821698,36009
32,11,0.079809742,36009
32,12,0.075012863,36009
41,1,0.064923175,36009
41,2,0.066103024,36009
41,3,0.075496021,36009
41,4,0.080253758,36009
41,5,0.08781206,36009
41,6,0.094672204,36009
41,7,0.098159069,36009
41,8,0.097948532,36009
41,9,0.092368917,36009
41,10,0.088204929,36009
41,11,0.079527396,36009
41,12,0.074530916,36009
42,1,0.064923175,36009
42,2,0.066103024,36009
42,3,0.075496021,36009
42,4,0.080253758,36009
42,5,0.08781206,36009
42,6,0.094672204,36009
42,7,0.098159069,36009
42,8,0.097948532,36009
42,9,0.092368917,36009
42,10,0.088204929,36009
42,11,0.079527396,36009
42,12,0.074530916,36009
43,1,0.064923175,36009
43,2,0.066103024,36009
43,3,0.075496021,36009
43,4,0.080253758,36009
43,5,0.08781206,36009
43,6,0.094672204,36009
43,7,0.098159069,36009
43,8,0.097948532,36009
43,9,0.092368917,36009
43,10,0.088204929,36009
43,11,0.079527396,36009
43,12,0.074530916,36009
51,1,0.06450721,36009
51,2,0.065748384,36009
51,3,0.07510674,36009
51,4,0.079992495,36009
51,5,0.087816812,36009
51,6,0.094993887,36009
51,7,0.098914589,36009
