OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
102,36,119,006400,36119006400,64,Census Tract,G5020,S,996553,15968,+40.9194095,-073.7953533
103,36,119,006500,36119006500,65,Census Tract,G5020,S,2113666,0,+40.9249274,-073.7783059
104,36,119,006600,36119006600,66,Census Tract,G5020,S,1905493,50076,+40.9295355,-073.7970547
105,36,119,006700,36119006700,67,Census Tract,G5020,S,3753917,139866,+40.9418138,-073.7797387
106,36,119,006801,36119006801,68.01,Census Tract,G5020,S,3523955,8494,+40.9740978,-073.7847261
107,36,119,006802,36119006802,68.02,Census Tract,G5020,S,4900692,80675,+40.9540177,-073.7857383
108,36,119,006900,36119006900,69,Census Tract,G5020,S,6736607,213121,+40.9572517,-073.7550751
109,36,119,007000,36119007000,70,Census Tract,G5020,S,2451160,4288937,+40.9105687,-073.7588739
110,36,119,007100,36119007100,71,Census Tract,G5020,S,2838001,6735486,+40.9183259,-073.7453488
111,36,119,007200,36119007200,72,Census Tract,G5020,S,3602393,7956100,+40.9283295,-073.7301900
112,36,119,007300,36119007300,73,Census Tract,G5020,S,1725028,6755,+40.9579066,-073.7407539
113,36,119,007401,36119007401,74.01,Census Tract,G5020,S,1229307,0,+40.9575389,-073.7293171
114,36,119,007402,36119007402,74.02,Census Tract,G5020,S,1754886,859808,+40.9481396,-073.7196368
115,36,119,007500,36119007500,75,Census Tract,G5020,S,5035639,1637281,+40.9512657,-073.7011275
116,36,119,007600,36119007600,76,Census Tract,G5020,S,5682221,35058506,+40.9447383,-073.6863743
117,36,119,007700,36119007700,77,Census Tract,G5020,S,4440123,5072,+40.9846266,-073.6857078
118,36,119,007800,36119007800,78,Census Tract,G5020,S,1150027,136522,+40.9918616,-073.6643569
119,36,119,007901,36119007901,79.01,Census Tract,G5020,S,638187,0,+40.9979993,-073.6760203
120,36,119,007902,36119007902,79.02,Census Tract,G5020,S,408830,0,+41.0014249,-073.6713664
121,36,119,008000,36119008000,80,Census Tract,G5020,S,823398,32033,+41.0018282,-073.6641510
122,36,119,008100,36119008100,81,Census Tract,G5020,S,755901,16635,+41.0115471,-073.6611743
123,36,119,008200,36119008200,82,Census Tract,G5020,S,2259438,0,+41.0141394,-073.6704969
124,36,119,008301,36119008301,83.01,Census Tract,G5020,S,992608,3660,+41.0049575,-073.6802596
125,36,119,008302,36119008302,83.02,Census Tract,G5020,S,7881068,54781,+41.0283588,-073.6883388
126,36,119,008401,36119008401,84.01,Census Tract,G5020,S,3624808,3801,+40.9750474,-073.7249262
127,36,119,008403,36119008403,84.03,Census Tract,G5020,S,1285793,0,+40.9705037,-073.7187588
128,36,119,008404,36119008404,84.04,Census Tract,G5020,S,1149844,0,+40.9653659,-073.7149822
129,36,119,008500,36119008500,85,Census Tract,G5020,S,13175722,59956,+40.9986535,-073.7054587
130,36,119,008602,36119008602,86.02,Census Tract,G5020,S,20049752,1604519,+41.0478481,-073.7221062
131,36,119,008700,36119008700,87,Census Tract,G5020,S,2265017,78393,+41.0437622,-073.7441155
132,36,119,008801,36119008801,88.01,Census Tract,G5020,S,362216,0,+41.0353044,-073.7571328
133,36,119,008802,36119008802,88.02,Census Tract,G5020,S,106271,0,+41.0351043,-073.7617641
134,36,119,008901,36119008901,89.01,Census Tract,G5020,S,1107327,0,+41.0427566,-073.7663085
135,36,119,008902,36119008902,89.02,Census Tract,G5020,S,3329997,282541,+41.0533963,-073.7563229
136,36,119,009000,36119009000,90,Census Tract,G5020,S,1235262,12500,+41.0408993,-073.7727445
137,36,119,009100,36119009100,91,Census Tract,G5020,S,1074053,0,+41.0302656,-073.7830636
138,36,119,009201,36119009201,92.01,Census Tract,G5020,S,822311,0,+41.0246099,-073.7780128
139,36,119,009202,36119009202,92.02,Census Tract,G5020,S,440256,0,+41.0200186,-073.7753069
140,36,119,009300,36119009300,93,Census Tract,G5020,S,555583,0,+41.0295908,-073.7698819
141,36,119,009400,36119009400,94,Census Tract,G5020,S,684172,0,+41.0290170,-073.7619559
142,36,119,009500,36119009500,95,Census Tract,G5020,S,648957,0,+41.0223177,-073.7648448
143,36,119,009600,36119009600,96,Census Tract,G5020,S,2177598,0,+41.0120217,-073.7670925
144,36,119,009701,36119009701,97.01,Census Tract,G5020,S,2366388,0,+41.0020273,-073.7550271
145,36,119,009702,36119009702,97.02,Census Tract,G5020,S,4777054,18318,+41.0161957,-073.7425573
146,36,119,009703,36119009703,97.03,Census Tract,G5020,S,5530554,5394,+41.0022500,-073.7343406
147,36,119,009800,36119009800,98,Census Tract,G5020,S,6657766,6520,+40.9846550,-073.7642065
148,36,119,009900,36119009900,99,Census Tract,G5020,S,4966607,11067,+40.9936138,-073.7772011
149,36,119,010000,36119010000,100,Census Tract,G5020,S,3804390,0,+41.0039445,-073.7929026
150,36,119,010100,36119010100,101,Census Tract,G5020,S,1853263,3266,+40.9826939,-073.7984415
151,36,119,010200,36119010200,102,Census Tract,G5020,S,3462884,0,+40.9907973,-073.8709719
152,36,119,010300,36119010300,103,Census Tract,G5020,S,1662711,2431182,+40.9913404,-073.8855628
153,36,119,010400,36119010400,104,Census Tract,G5020,S,1750496,1946439,+41.0157238,-073.8792118
154,36,119,010500,36119010500,105,Census Tract,G5020,S,4524334,1772,+41.0115337,-073.8610754
155,36,119,010600,36119010600,106,Census Tract,G5020,S,3423568,0,+41.0134740,-073.8392858
156,36,119,010701,36119010701,107.01,Census Tract,G5020,S,8614219,67575,+40.9974144,-073.8371374
157,36,119,010702,36119010702,107.02,Census Tract,G5020,S,3209632,21290,+41.0036531,-073.8088704
158,36,119,010801,36119010801,108.01,Census Tract,G5020,S,4731767,682,+41.0158183,-073.8177111
