OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
3220,36,119,009703,1028,361190097031028,Block 1028,G5040, , , ,S,1830,0,+40.9924008,-073.7325577
3221,36,119,015100,4016,361190151004016,Block 4016,G5040, , , ,S,8461,0,+40.9259460,-073.8055925
3222,36,119,014703,4020,361190147034020,Block 4020,G5040, , , ,S,9367,0,+41.3309408,-073.8889995
3223,36,119,014703,4019,361190147034019,Block 4019,G5040, , , ,S,6934,0,+41.3301466,-073.8891382
3224,36,119,007800,2017,361190078002017,Block 2017,G5040, , , ,S,0,128111,+40.9882781,-073.6601711
3225,36,119,014100,3027,361190141003027,Block 3027,G5040, , , ,S,11015,0,+41.2700092,-073.9358256
3226,36,119,014606,1008,361190146061008,Block 1008,G5040, , , ,S,69312,0,+41.2639772,-073.9332402
3227,36,119,015000,3014,361190150003014,Block 3014,G5040, , , ,S,45257,0,+41.3129965,-073.6489101
3228,36,119,014400,3006,361190144003006,Block 3006,G5040, , , ,S,7775,0,+41.2993437,-073.8999646
3229,36,119,014400,3005,361190144003005,Block 3005,G5040, , , ,S,12005,0,+41.2999837,-073.8974424
3230,36,119,011800,5002,361190118005002,Block 5002,G5040, , , ,S,14024,0,+41.1543727,-073.7801445
3231,36,119,008200,3014,361190082003014,Block 3014,G5040, , , ,S,22659,0,+41.0190577,-073.6619927
3232,36,119,008602,4012,361190086024012,Block 4012,G5040, , , ,S,212631,0,+41.0534790,-073.7157845
3233,36,119,003700,3005,361190037003005,Block 3005,G5040, , , ,S,7559,0,+40.9159970,-073.8464388
3234,36,119,011800,2006,361190118002006,Block 2006,G5040, , , ,S,25627,0,+41.1623126,-073.8165747
3235,36,119,013600,3010,361190136003010,Block 3010,G5040, , , ,S,13191,0,+41.1839182,-073.8694799
3236,36,119,013103,2050,361190131032050,Block 2050,G5040, , , ,S,10904,0,+41.1773936,-073.8119372
3237,36,119,011902,1021,361190119021021,Block 1021,G5040, , , ,S,6323,0,+41.0925196,-073.7926131
3238,36,119,010702,2000,361190107022000,Block 2000,G5040, , , ,S,7573,0,+41.0011469,-073.8147688
3239,36,119,009701,3017,361190097013017,Block 3017,G5040, , , ,S,2408,0,+40.9831773,-073.7447595
3240,36,119,013103,2052,361190131032052,Block 2052,G5040, , , ,S,33690,0,+41.1757748,-073.8104527
3241,36,119,010200,5006,361190102005006,Block 5006,G5040, , , ,S,26465,0,+40.9986238,-073.8648483
3242,36,119,005500,2005,361190055002005,Block 2005,G5040, , , ,S,8539,0,+40.8931793,-073.7992148
3243,36,119,012304,2005,361190123042005,Block 2005,G5040, , , ,S,210302,0,+41.1521358,-073.6928316
3244,36,119,012000,1019,361190120001019,Block 1019,G5040, , , ,S,3862,0,+41.1011124,-073.8079626
3245,36,119,004200,1002,361190042001002,Block 1002,G5040, , , ,S,12473,0,+40.9242488,-073.8262452
3246,36,119,012202,3038,361190122023038,Block 3038,G5040, , , ,S,3871,0,+41.1295907,-073.7940603
3247,36,119,012202,3027,361190122023027,Block 3027,G5040, , , ,S,3166,0,+41.1283366,-073.7943250
3248,36,119,011200,2018,361190112002018,Block 2018,G5040, , , ,S,5160,0,+41.0489079,-073.8115225
3249,36,119,005200,1015,361190052001015,Block 1015,G5040, , , ,S,19157,0,+40.9341919,-073.8072641
3250,36,119,000205,1002,361190002051002,Block 1002,G5040, , , ,S,1668,0,+40.9188320,-073.9014511
3251,36,119,011402,2001,361190114022001,Block 2001,G5040, , , ,S,191534,0,+41.0625118,-073.8499556
3252,36,119,012303,3016,361190123033016,Block 3016,G5040, , , ,S,5582,0,+41.1229263,-073.7110946
3253,36,119,010901,1003,361190109011003,Block 1003,G5040, , , ,S,253367,0,+41.0673334,-073.7896898
3254,36,119,010500,4005,361190105004005,Block 4005,G5040, , , ,S,63394,0,+41.0009348,-073.8637459
