OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,SHAPEAREA,SHAPELEN
6662,NY119,3,ChB,309694,96261.2340952275,1520.33243693164
6663,NY119,3,HrF,309712,55358.1772285037,1234.12181097016
6664,NY119,3,WdB,309691,171315.630761103,3036.89843315101
6665,NY119,3,WdB,309691,206096.799869381,2839.97223895293
6666,NY119,3,CrC,309703,22331476.4724855,83191.1637176312
6667,NY119,3,Sh,309743,281003.551222095,3692.47808359704
6668,NY119,3,Ub,309672,97691.1032379768,1241.78602952497
6669,NY119,3,CsD,309704,971658.761409416,5037.66772052605
6670,NY119,3,CsD,309704,1161756.10329431,8821.02847037238
6671,NY119,3,CrC,309703,376917.129466049,2557.11716083862
6672,NY119,3,Uc,309673,828215.617962628,12640.1381319173
6673,NY119,3,WdB,309691,233445.653981723,2569.12125398629
6674,NY119,3,PnB,309721,757627.1778106,4713.98541106527
6675,NY119,3,W,309689,24264.1845906745,717.706694732573
6676,NY119,3,LcA,309716,201594.267384756,2733.65893403185
6677,NY119,3,ChE,309697,185471.590075453,2900.09552496245
6678,NY119,3,WdB,309691,157349.185771462,1954.10591661882
6679,NY119,3,W,309689,20954.0201498068,703.708673106782
6680,NY119,3,SuB,309671,149130.555393392,1905.3746920193
6681,NY119,3,LeB,309718,116113.387416398,2151.5534267215
6682,NY119,3,CuD,309706,73724.7165963485,1442.8370107173
6683,NY119,3,CuD,309706,79550.9892967426,1232.46677459687
6684,NY119,3,ChB,309694,250242.646480287,2310.25017973336
6685,NY119,3,ChB,309694,518845.843525018,3592.17789316944
6686,NY119,3,CrC,309703,103102.323385391,1851.64967134401
6687,NY119,3,CrC,309703,665245.292375164,5067.892812965
6688,NY119,3,CuD,309706,142695.902193688,1741.80796255528
6689,NY119,3,Uf,309675,455900.389156028,3159.15258753966
6690,NY119,3,SuB,309671,226904.106298139,1992.02683234778
6691,NY119,3,HrF,309712,159690.430740783,2290.60329709974
6692,NY119,3,LcB,309717,156394.989371513,3083.59960995612
6693,NY119,3,W,309689,34101.8224858389,1045.37025561877
6694,NY119,3,Ff,309707,391587.621500945,4113.39610759081
6695,NY119,3,Sm,309744,45149.7485875423,894.202247663042
6696,NY119,3,HrF,309712,101114.498961507,1343.57129153253
6697,NY119,3,Pv,309728,164511.924815182,2270.88598821808
6698,NY119,3,Sh,309743,292288.947894272,4170.96315129603
6699,NY119,3,W,309689,72710.6075882545,1506.51381686453
6700,NY119,3,Ra,309730,401276.557769858,5984.77997286945
6701,NY119,3,CsD,309704,183425.224208899,3132.21142387409
6702,NY119,3,CrC,309703,6788353.9483437,48142.9022660969
6703,NY119,3,LcB,309717,233879.647963994,2561.92096129963
6704,NY119,3,Ff,309707,82372.3197936456,1806.37673970025
6705,NY119,3,RdB,309732,170764.340683978,1714.60235597107
6706,NY119,3,LeB,309718,75988.5076029463,1310.29874880326
6707,NY119,3,LcB,309717,79140.4990626776,1130.49675809937
6708,NY119,3,ChD,309696,213479.423868899,3195.64395942321
6709,NY119,3,Ff,309707,507181.828482223,4176.89885907717
6710,NY119,3,PnC,309722,6705545.19431609,27047.7058475898
6711,NY119,3,W,309689,15376.6620372596,681.009448990751
6712,NY119,3,HrF,309712,80288.4632305796,1513.63846676377
6713,NY119,3,CsD,309704,1111017.0444285,9040.16268638858
6714,NY119,3,CuD,309706,186989.914743337,2997.77209376107
6715,NY119,3,ChB,309694,166702.272652441,1738.73762704277
6716,NY119,3,LcB,309717,66841.5244066535,1226.90548032805
6717,NY119,3,ChB,309694,260448.101204851,2538.5766815196
6718,NY119,3,W,309689,30228.4464073685,645.825065207801
6719,NY119,3,CuD,309706,424421.183925711,4091.7352272633
6720,NY119,3,Pa,309719,36124.3342928119,713.812360537066
6721,NY119,3,Uc,309673,25058.8810192472,691.318980716801
6722,NY119,3,CuD,309706,212900.741124093,2998.54008426419
6723,NY119,3,PnB,309721,850420.436298521,6413.81778800178
6724,NY119,3,LeB,309718,134654.965240339,1599.16188857148
6725,NY119,3,Sm,309744,33280.502109469,769.075186579845
6726,NY119,3,W,309689,66599.7866768319,1287.05616365455
6727,NY119,3,CtC,309705,192728.261399608,1649.44781675689
6728,NY119,3,Uf,309675,309160.240960296,3102.16506316303
6729,NY119,3,CtC,309705,234585.326303691,3116.06344779893
6730,NY119,3,RhB,309735,1631139.18326572,7849.95184489144
6731,NY119,3,ChD,309696,591201.171580986,4564.14010550147
6732,NY119,3,ChD,309696,194356.253527449,3344.39626505979
6733,NY119,3,ClC,309699,867121.600766361,9494.58301205191
6734,NY119,3,ChD,309696,309576.664329549,5014.79137870892
6735,NY119,3,SuB,309671,139012.266320164,1873.45086049789
6736,NY119,3,CsD,309704,88227.9972104406,1568.78011448611
6737,NY119,3,HrF,309712,442344.087422633,4962.25761170615
6738,NY119,3,CsD,309704,772827.471331631,6469.12132609279
6739,NY119,3,CrC,309703,405721.240941458,4763.61289685757
6740,NY119,3,UwB,309688,506192.279321252,4439.93307358245
6741,NY119,3,ChE,309697,246345.969361728,2870.07168467551
6742,NY119,3,WdB,309691,668215.345288646,4324.93912145921
6743,NY119,3,W,309689,7665.33722534809,360.466527133369
6744,NY119,3,Pa,309719,37032.9957825107,713.682170770274
6745,NY119,3,ChB,309694,189462.632208571,2122.15065882557
6746,NY119,3,SuB,309671,66055.7915761892,988.919031652229
6747,NY119,3,KnC,309715,212807.025586816,3027.19389206052
6748,NY119,3,SuA,309670,484631.277602921,6081.52266742412
6749,NY119,3,CrC,309703,744371.517713557,4878.97188409742
6750,NY119,3,LcB,309717,102757.280467194,1553.78790940021
6751,NY119,3,CsD,309704,777509.200033455,8391.26793059115
6752,NY119,3,CtC,309705,109414.30593594,1252.3178369904
6753,NY119,3,W,309689,2871306.72133626,18215.1864342356
6754,NY119,3,SuB,309671,187517.028271167,1811.74411618104
6755,NY119,3,RdA,309731,105854.749058379,1288.97598008221
6756,NY119,3,Ff,309707,265042.412170695,2427.11751535319
6757,NY119,3,Ce,309693,894784.783605445,7399.70126280843
6758,NY119,3,CuD,309706,746751.70182021,4325.28126997802
6759,NY119,3,RhE,309738,369170.823697136,4556.50736449785
6760,NY119,3,HrF,309712,84977.1513184059,1562.63822014806
6761,NY119,3,HrF,309712,413370.948360704,3606.76949727786
6762,NY119,3,W,309689,108331.621431418,2485.04710317556
6763,NY119,3,ChE,309697,37599.805195904,1060.33598814682
6764,NY119,3,ClC,309699,17392.8173541707,889.417034897631
6765,NY119,3,UhC,309677,1550096.01141787,8946.50306373608
6766,NY119,3,W,309689,19090.8764180347,580.351469029277
6767,NY119,3,PnC,309722,364565.252114752,3650.83291596715
6768,NY119,3,PnC,309722,79497.9886100113,1423.00554555643
6769,NY119,3,ChB,309694,2161866.76213085,18362.5855270375
6770,NY119,3,PnC,309722,126452.911611424,1935.13429406835
6771,NY119,3,PnC,309722,772409.851620707,5497.77881044817
6772,NY119,3,RhB,309735,312843.793795213,2699.57725489936
6773,NY119,3,CuD,309706,297269.555450667,3748.19366633039
6774,NY119,3,PnD,309723,353187.502895723,4063.94595107252
6775,NY119,3,CrC,309703,2472939.6788995,17945.6635859269
6776,NY119,3,UvB,309686,591569.497876518,3386.53932557515
6777,NY119,3,CrC,309703,2863411.09939654,16923.8635301937
6778,NY119,3,CrC,309703,2528234.78554954,19433.0407853109
6779,NY119,3,Pa,309719,195811.43897693,2977.63622561148
6780,NY119,3,LcA,309716,263555.784883949,2778.51289882145
6781,NY119,3,UhB,309676,1507722.51189768,6470.438038827
6782,NY119,3,CrC,309703,91788.9676251655,1707.5136742581
6783,NY119,3,CsD,309704,324938.644098153,4090.212436695
6784,NY119,3,LeB,309718,375871.688551828,4646.6245035562
6785,NY119,3,Ce,309693,88289.8636933052,1355.2940797963
6786,NY119,3,CuD,309706,1326175.02461331,11574.9598168461
6787,NY119,3,W,309689,42280.8319347797,1249.87503243454
6788,NY119,3,LcB,309717,82798.6032895013,1383.28140421002
6789,NY119,3,CuD,309706,2169279.83350566,14822.1730397685
6790,NY119,3,Uf,309675,1088441.08520458,4745.88698758425
6791,NY119,3,HnB,309709,314400.538999208,3148.86180427692
6792,NY119,3,SuB,309671,115178.955559475,1403.10725487656
6793,NY119,3,UpB,309682,186849.587775064,2333.09284922908
6794,NY119,3,CrC,309703,504102.108096593,3069.89469595607
6795,NY119,3,PoD,309726,534821.749257233,5390.10230686345
6796,NY119,3,Sh,309743,67065.8818591758,1080.9793524648
6797,NY119,3,CsD,309704,896955.92883929,11153.0390592045
6798,NY119,3,CrC,309703,66165.8261288667,1166.74227532515
6799,NY119,3,CuD,309706,350625.858232493,4462.49520022049
6800,NY119,3,HrF,309712,236620.75925005,2731.35980792978
6801,NY119,3,Sh,309743,147897.34367054,2648.24746490035
6802,NY119,3,Sh,309743,41765.3909714204,865.93071459883
6803,NY119,3,CuD,309706,3189259.58188052,15830.0395465963
6804,NY119,3,ChC,309695,714454.411787405,6565.00613481914
6805,NY119,3,W,309689,41787.0125744935,1217.00993365013
6806,NY119,3,CuD,309706,1594657.26794648,16638.9537148448
6807,NY119,3,CsD,309704,661781.564475127,5518.58051956533
6808,NY119,3,UpB,309682,64938.5530683224,1095.28765657826
6809,NY119,3,Ub,309672,328820.057058598,2273.02435964969
6810,NY119,3,UhB,309676,4985379.79689012,19528.2300314124
6811,NY119,3,UhB,309676,668900.127972256,3895.80465853558
6812,NY119,3,ChB,309694,167722.860894643,2883.94444471973
6813,NY119,3,Uf,309675,65176.3142311446,987.177646758947
6814,NY119,3,RdB,309732,315156.995430458,4179.20294974982
6815,NY119,3,Uf,309675,610219.233777092,3081.04057952728
6816,NY119,3,CrC,309703,541372.933256954,3334.93927295821
6817,NY119,3,Uc,309673,651795.586939531,3587.17104797165
6818,NY119,3,UlC,309679,3975489.42942989,15955.3175094944
6819,NY119,3,LcB,309717,557791.761292077,4252.86021170974
6820,NY119,3,Uc,309673,1430415.12733511,13998.5208047203
6821,NY119,3,UpB,309682,1301605.18763842,7213.45709140872
6822,NY119,3,UpB,309682,2608786.29991075,11700.9979243182
6823,NY119,3,W,309689,153322.957414097,1966.19713593262
6824,NY119,3,CsD,309704,90489.424153445,1586.60057660483
6825,NY119,3,UlD,309680,877037.900386643,6405.790800174
6826,NY119,3,LcB,309717,164603.06739054,2224.08959338381
6827,NY119,3,LeB,309718,139808.05257312,1962.36097693249
6828,NY119,3,ChC,309695,594445.176262102,4300.07658567374
6829,NY119,3,W,309689,59382.8331549733,1087.64068057857
6830,NY119,3,ChD,309696,446377.373321673,4644.8262171074
6831,NY119,3,HnB,309709,201076.992368584,2616.11858853475
6832,NY119,3,Uc,309673,242017.921853152,3310.58785571968
6833,NY119,3,LcB,309717,96417.2110647018,1805.29999773551
6834,NY119,3,WdB,309691,455428.566728677,3159.29308338916
6835,NY119,3,PnD,309723,212899.405046113,2036.1196854677
6836,NY119,3,CrC,309703,1236591.28188963,5807.67734784238
6837,NY119,3,RhD,309737,118027.137409822,1927.79222252075
6838,NY119,3,CsD,309704,3749062.79358682,23827.2991936
6839,NY119,3,HrF,309712,5290237.73528935,25593.4461788139
6840,NY119,3,ChC,309695,333086.070870523,3064.89463189797
6841,NY119,3,ChB,309694,476793.264607934,2958.05179170039
6842,NY119,3,CrC,309703,242865.567602475,2252.29426793845
6843,NY119,3,Sh,309743,176357.171637093,2624.74210274044
6844,NY119,3,RhE,309738,540329.558697805,7618.41659074023
6845,NY119,3,CuD,309706,235346.867224852,3488.50243686355
6846,NY119,3,CrC,309703,297381.504466015,2342.72438590805
6847,NY119,3,ClC,309699,232820.111926009,2640.05130216381
6848,NY119,3,Ub,309672,710622.478287675,4149.6042857233
6849,NY119,3,ChC,309695,39319.3877205417,865.464318524699
6850,NY119,3,CrC,309703,66355.4747933573,1114.432146815
6851,NY119,3,CsD,309704,37817.7011682322,1178.11777436303
6852,NY119,3,CtC,309705,787594.861158433,5459.16992908289
6853,NY119,3,Uf,309675,302201.877251493,2342.42175539842
6854,NY119,3,Fr,309708,112781.282199383,2022.0881477269
6855,NY119,3,LcA,309716,170512.712154362,2877.27716621847
6856,NY119,3,PnB,309721,783094.799652661,6694.48860367775
6857,NY119,3,PnD,309723,192940.104786604,2398.33618001216
6858,NY119,3,PnD,309723,422173.425447134,3699.38704307751
6859,NY119,3,CuD,309706,53347.2106640735,969.795459393285
6860,NY119,3,UhC,309677,305155.85341186,3212.17768240053
6861,NY119,3,UrB,309685,131016.064073316,1987.73744405661
6862,NY119,3,ChB,309694,1076648.06150232,7862.15583938204
6863,NY119,3,HnB,309709,100002.809059312,1607.58855181713
6864,NY119,3,W,309689,80259.2943241593,1204.21341626778
6865,NY119,3,Sh,309743,85026.4104684137,1271.86625232954
